@Ordspråk|Vad är
The Muppet Show|Kermit leder en kaotisk varieté med Miss Piggy, Fozzie och många andra dockfigurer inför en ofta skeptisk teaterpublik.
Fraggle Rock|Färgstarka små varelser lever i ett underjordiskt samhälle tillsammans med byggande Doozers i Jim Hensons serie.
Pingu|En liten pingvin kommunicerar med familj och vänner på ett nonsensspråk i denna schweiziskt skapade stop-motion-serie.
Postman Pat|En vänlig brevbärare kör sin röda bil genom den fiktiva byn Greendale tillsammans med katten Jess.
Fireman Sam|Brandmannen i den walesiska staden Pontypandy rycker ut när invånarnas vardagsproblem utvecklas till små nödsituationer.
Thomas the Tank Engine|Talande lok på ön Sodor arbetar under Sir Topham Hatt i denna brittiska järnvägsserie för barn.
Bagpuss|En stor randig tygkatt vaknar till liv i en gammal butik när flickan Emily lämnar upphittade föremål där.
The Clangers|Små rosa musliknande varelser lever på en liten planet och kommunicerar med visslande ljud i denna brittiska stop-motion-serie.
Blue Peter|Det brittiska barnmagasinet startade 1958 och är känt för pyssel, reportage, djur och de eftertraktade märkena med ett segelfartyg.
Play School|Det långlivade brittiska förskoleprogrammet använde leksaker, sånger och särskilda fönster som ledde till filmade inslag.
Rainbow|Zippy, George och Bungle var färgstarka figurer i detta brittiska barnprogram som sändes i flera decennier.
The Magic Roundabout|Dougal, Zebedee och Florence tillhör denna klassiska brittisk-franska stop-motionserie kring en magisk karusell.
Morph|Den lilla figuren av brun modellera skapades av Aardman och dök upp i korta komiska inslag i brittisk barn-tv.
Button Moon|En familj av skedliknande figurer flyger i en raket gjord av burkar till en måne med knappmotiv i denna brittiska serie.

@Sitcoms|Vad är
Seinfeld|Fyra New York-bor pratar om små vardagsproblem i serien som själv beskrev sig som en show om ingenting.
Detectorists|Vännerna Andy och Lance ägnar fritiden åt metalldetektering på engelska fält i denna lågmälda brittiska komedi.
Cheers|Stamgäster och personal samlas i en bar i Boston där ”alla känner ditt namn” i denna långlivade amerikanska komedi.
Frasier|En psykiater lämnar Boston för Seattle och arbetar som radiopratare medan hans pensionerade far flyttar in hos honom.
The Fresh Prince of Bel-Air|En tonåring från Philadelphia skickas att bo hos sina rika släktingar i Kalifornien i denna 1990-talskomedi.
Modern Family|Tre sammanlänkade familjer följs med dokumentärliknande intervjuer i denna amerikanska ensemblekomedi.
Parks and Recreation|Leslie Knope arbetar entusiastiskt på parkförvaltningen i den fiktiva staden Pawnee, Indiana.
Brooklyn Nine-Nine|Poliser på en station i New York kombinerar brottsutredningar med arbetsplatskomedi under kapten Holt.
Community|En studiegrupp på det kaotiska Greendale College utvecklas till en nära vänkrets i denna metakomiska tv-komedi.
Arrested Development|Den dysfunktionella och tidigare rika familjen Bluth försöker hantera ekonomiskt och socialt kaos efter familjefaderns gripande.
Blackadder|Rowan Atkinson spelar olika cyniska figurer med samma namn i flera brittiska historiska epoker.
Fawlty Towers|John Cleese spelar den stressade hotellägaren Basil som ständigt skapar katastrofer på sitt hotell i Torquay.
Only Fools and Horses|Bröderna Del Boy och Rodney försöker bli rika genom tveksamma affärer från sin lägenhet i Peckham.
Yes, Minister|En brittisk minister försöker driva politik men möter skickligt motstånd från den permanente ämbetsmannen Sir Humphrey.
The IT Crowd|Tre anställda på ett företags undangömda IT-avdelning hamnar i absurda situationer i denna brittiska komedi.
Spaced|Två främlingar låtsas vara ett par för att få hyra en lägenhet och hamnar i popkulturellt laddade vardagsäventyr.
30 Rock|Tina Fey spelar manuschefen Liz Lemon bakom en sketchshow i en snabb komedi om tv-branschen.
Veep|Julia Louis-Dreyfus spelar en ambitiös men ofta maktlös amerikansk vicepresident omgiven av cyniska medarbetare.
Curb Your Enthusiasm|Larry David spelar en överdriven version av sig själv och skapar konflikter genom sociala missförstånd och envisa principer.
The Good Place|En kvinna tror först att hon av misstag hamnat i paradiset och börjar studera moralfilosofi i denna ovanliga komedi.
Peep Show|Två mycket olika män delar lägenhet i London och tittaren hör ofta deras privata tankar genom en subjektiv kamerastil.
Derry Girls|Tonårsflickor går i katolsk skola i Nordirland under 1990-talets slutskede av The Troubles.
Black Books|Den misantropiske bokhandlaren Bernard driver en kaotisk butik i London tillsammans med vännerna Manny och Fran.
Father Ted|Tre katolska präster bor på den fiktiva Craggy Island utanför Irland i denna absurda brittisk-irländska komedi.
The Thick of It|Politiker och rådgivare hanterar kriser under den fruktade kommunikationschefen Malcolm Tuckers aggressiva ledning.

@Deckare|Vad är
Sherlock Holmes|Den briljante konsultdetektiven på Baker Street skapades av Arthur Conan Doyle och arbetar ofta med doktor Watson.
Hercule Poirot|Agatha Christies belgiske detektiv är känd för sin välskötta mustasch och sin tro på de små grå cellerna.
Miss Marple|Den äldre amatördetektiven från byn St Mary Mead löser brott genom att jämföra människor med typer hon känner från vardagslivet.
Kurt Wallander|Henning Mankells polis i Ystad utreder mörka brott samtidigt som hans privatliv och hälsa ofta är komplicerade.
Martin Beck|Maj Sjöwall och Per Wahlöö skapade denna svenska polis som senare gestaltats i många filmer och tv-serier.
Philip Marlowe|Raymond Chandlers hårdkokte privatdetektiv rör sig genom ett korrupt Los Angeles i romaner som The Big Sleep.
Sam Spade|Dashiell Hammetts privatdetektiv jagar en värdefull staty i The Maltese Falcon.
Nero Wolfe|Rex Stouts excentriske detektiv föredrar att lösa fall hemifrån medan assistenten Archie Goodwin samlar information ute på fältet.
Father Brown|G.K. Chestertons katolske präst löser brott genom kunskap om mänskliga svagheter snarare än avancerad kriminalteknik.
Lord Peter Wimsey|Dorothy L. Sayers aristokratiske amatördetektiv kombinerar bildning och charm med erfarenheter från första världskriget.
Inspector Morse|Colin Dexters Oxfordpolis gillar korsord, klassisk musik och öl och löser intellektuellt krävande mordfall.
Adam Dalgliesh|P.D. James skapade denna poet och högt uppsatte polis som utreder komplexa brittiska mordfall.
Maigret|Georges Simenons franske kommissarie arbetar metodiskt i Paris och försöker ofta förstå gärningspersonens miljö och psykologi.
Lew Archer|Ross Macdonalds kaliforniske privatdetektiv avslöjar ofta gamla familjehemligheter under sina utredningar.
V.I. Warshawski|Sara Paretskys privatdetektiv arbetar i Chicago och blev en viktig modern kvinnlig figur inom hårdkokt kriminalroman.
Kinsey Millhone|Sue Graftons privatdetektiv är huvudperson i en lång alfabetiskt titulerad serie som börjar med A is for Alibi.
Harry Bosch|Michael Connellys envisa mordutredare arbetar i Los Angeles och har bakgrund som tunnelratta under Vietnamkriget.
Lincoln Rhyme|Jeffery Deavers kriminaltekniskt skicklige detektiv är förlamad och leder avancerade utredningar från sin specialutrustade miljö.
Easy Rawlins|Walter Mosleys afroamerikanske privatdetektiv rör sig i efterkrigstidens Los Angeles och möter rasism, politik och kriminalitet.
C. Auguste Dupin|Edgar Allan Poes analytiske amatördetektiv förekom före Sherlock Holmes och löser bland annat Morden på Rue Morgue.
Brother Cadfael|Ellis Peters medeltida benediktinmunk använder erfarenhet av örter, krig och människor för att lösa brott i 1100-talets England.
Inspector Rebus|Ian Rankins skotske polis arbetar i Edinburgh och har ett komplicerat förhållande till både kollegor och stadens kriminella värld.
Commissario Brunetti|Donna Leons eftertänksamma kommissarie löser brott i Venedig och konfronterar ofta korruption samt sociala problem.
Mma Precious Ramotswe|Alexander McCall Smiths detektiv driver No. 1 Ladies' Detective Agency i Botswana och löser vardagliga mysterier med empati.
Pepe Carvalho|Manuel Vázquez Montalbáns katalanske privatdetektiv arbetar i Barcelona, älskar matlagning och kommenterar Spaniens politiska förändringar.

@Skräckfilm|Vad är
The Exorcist|En ung flicka i Washington uppvisar skrämmande symtom och två präster försöker driva ut en demon i denna film från 1973.
Get Out|En svart ung man besöker sin vita flickväns familj och upptäcker gradvis en mycket mörk hemlighet bakom deras välkomnande fasad.
The Shining|En familj isoleras över vintern på Overlook Hotel där fadern gradvis påverkas av platsens mörka krafter.
The Conjuring|Två paranormala utredare hjälper en familj som upplever skrämmande fenomen i ett gammalt hus på Rhode Island.
Psycho|En ung kvinna stannar på ett avsides motell där ägaren Norman Bates har ett komplicerat förhållande till sin mor.
A Nightmare on Elm Street|Tonåringar jagas i sina drömmar av Freddy Krueger, vilket gör sömn direkt livsfarlig.
The Texas Chain Saw Massacre|En grupp ungdomar på landsbygden möter en skräckinjagande familj och den motorsågssvingande Leatherface.
The Thing|Forskare i Antarktis inser att en utomjordisk organism kan imitera andra livsformer perfekt och skapa total paranoia.
Rosemary's Baby|En gravid kvinna i New York börjar misstänka att grannarna och hennes make har mörka planer för hennes ofödda barn.
The Omen|En amerikansk diplomat börjar tro att hans adopterade son Damien kan ha ett demoniskt ursprung.
Suspiria|En amerikansk dansstudent anländer till en tysk balettskola där märkliga mord och ockulta krafter döljer sig bakom fasaden.
Nosferatu|Den stumma tyska filmen från 1922 presenterar vampyren greve Orlok i en obehörig version av Dracula.
The Wicker Man|En polis reser till en isolerad skotsk ö för att söka efter en försvunnen flicka och möter ett samhälle med främmande ritualer.
Dawn of the Dead|Överlevare söker skydd i ett köpcentrum medan samhället kollapsar under en zombieepidemi i George Romeros film.
Carrie|En mobbad tonårsflicka med telekinetiska krafter når bristningsgränsen efter en grym förnedring på skolbalen.
The Fly|En vetenskapsmans teleportationsexperiment går fel när genetiskt material blandas med en insekt i David Cronenbergs kroppsskräckfilm.
Hellraiser|En mystisk pusselask öppnar vägen till cenobiterna, varelser som utforskar gränsen mellan smärta och njutning.
The Blair Witch Project|Tre filmskapare försvinner i en skog och deras påstått återfunna videomaterial utgör nästan hela berättelsen.
Ringu|En förbannad videokassett sägs döda den som ser den efter sju dagar i denna japanska skräckfilm.
The Babadook|En ensamstående mor och hennes son hemsöks av en mörk figur från en skrämmande bilderbok som dyker upp i hemmet.
Hereditary|Efter en familjemedlems död börjar en mor upptäcka hemligheter, ritualer och ett arv som hotar hela familjen.
The Witch|En puritansk familj i 1600-talets New England isoleras vid skogskanten där religiös rädsla och övernaturliga hot växer.
It Follows|En ung kvinna förföljs av en långsamt gående övernaturlig varelse som bara vissa kan se och som aldrig slutar följa efter.
The Cabinet of Dr. Caligari|Den tyska expressionistiska stumfilmen använder sneda målade miljöer och en sömngångare styrd av en mystisk doktor.
Onibaba|Två kvinnor överlever genom att döda samurajer i ett vasslandskap i denna japanska skräckfilm med en demonisk mask.

@Science fiction|Vad är
Arrival|En lingvist försöker förstå besökande utomjordingars cirkulära skriftspråk i Denis Villeneuves film från 2016.
Gattaca|Ett framtida samhälle sorterar människor efter genetiska förutsättningar, medan en man försöker bli astronaut trots sin klassificering.
Ex Machina|En programmerare bjuds till en isolerad teknologimiljardär för att bedöma en avancerad humanoid artificiell intelligens.
Dune|Ökenplaneten Arrakis är den enda källan till den extremt värdefulla kryddan melange i Frank Herberts universum.
Star Trek|Federationens rymdskepp Enterprise utforskar galaxen med en besättning som söker nya världar och civilisationer.
Doctor Who|En tidsresande utomjording färdas i en blå brittisk poliskiosk och kan byta kropp och personlighet genom regeneration.
The Day the Earth Stood Still|En utomjordisk besökare vid namn Klaatu kommer till jorden med en varning och den kraftfulla roboten Gort.
Solaris|En forskarstation kretsar kring en gåtfull planet som verkar skapa fysiska gestalter ur besättningens minnen och skuld.
Neuromancer|William Gibsons roman introducerade hackern Case och populariserade begrepp som cyberspace i en mörk företagsstyrd framtid.
Foundation|Isaac Asimovs bokserie kretsar kring psykohistoria och en plan att förkorta ett kommande galaktiskt mörker efter imperiets fall.
Snow Crash|Neal Stephensons roman blandar virtuella världar, språkvirus, franchisestater och en svärdskunnig hackare vid namn Hiro.
The Left Hand of Darkness|Ursula K. Le Guins roman följer en ambassadör på en planet där invånarna inte har fasta kön under större delen av tiden.
Hyperion|Dan Simmons roman bygger på flera pilgrimers berättelser när de reser mot tidsgravarna och den fruktade varelsen Shrike.
The Forever War|Joe Haldemans soldater upplever tidsdilatation under interstellära krig så att århundraden passerar på jorden mellan uppdragen.
The Three-Body Problem|Liu Cixins romanserie börjar med kontakt mellan mänskligheten och en civilisation i ett instabilt tresolsystem.
Rendezvous with Rama|Arthur C. Clarkes roman följer utforskningen av ett enormt cylindriskt främmande rymdskepp som passerar genom solsystemet.
A Canticle for Leibowitz|Efter ett kärnvapenkrig bevarar ett kloster tekniska fragment genom århundraden medan civilisationen långsamt byggs upp igen.
Roadside Picnic|Bröderna Strugatskijs roman handlar om farliga zoner där utomjordiska besökare lämnat efter sig märkliga föremål.
The Stars My Destination|Alfred Besters roman följer Gully Foyle i en framtid där människor lärt sig teleportera genom ren viljekraft.
Children of Time|Adrian Tchaikovskys roman låter en evolutionärt accelererad spindelcivilisation utvecklas parallellt med mänskliga överlevare.
The Dispossessed|Le Guins roman jämför ett anarkistiskt samhälle på månen Anarres med den rikare men ojämlika planeten Urras.
Blindsight|Peter Watts roman skickar en ovanlig besättning för att undersöka en främmande intelligens och ställer frågor om medvetandets funktion.
The Culture|Iain M. Banks serie utspelar sig i ett post-scarcity-samhälle där avancerade AI-farkoster, så kallade Minds, spelar centrala roller.
Ringworld|Larry Nivens roman beskriver en enorm konstgjord ring runt en stjärna med en beboelig insida och ofattbar yta.
The Mote in God's Eye|Larry Niven och Jerry Pournelles roman skildrar människans första kontakt med en tekniskt avancerad art vars biologi skapar ett svårt dilemma.

@Fantasy|Vad är
The Lord of the Rings|En hobbit måste bära en mäktig ring till Domedagsberget medan fria folk samlas mot Saurons arméer.
A Song of Ice and Fire|George R.R. Martins bokserie om Westeros, de stridande adelshusen och hotet från norr ligger bakom Game of Thrones.
The Chronicles of Narnia|Barn från vår värld tar sig genom magiska vägar till ett land med det talande lejonet Aslan.
The Wheel of Time|Robert Jordans långa serie följer bland andra Rand al'Thor i en värld där tiden återkommer i cykler.
Discworld|Terry Pratchetts satiriska fantasyvärld är en skiva som bärs av fyra elefanter på ryggen av en enorm sköldpadda.
Earthsea|Ursula K. Le Guin skapade en övärld där sann magi är nära knuten till tingens sanna namn och trollkarlen Ged står i centrum.
The Witcher|Monsterjägaren Geralt av Rivia använder svärd, tecken och alkemiska preparat i Andrzej Sapkowskis mörka fantasyvärld.
Mistborn|Brandon Sandersons serie börjar i ett askregnigt imperium där vissa människor kan få krafter genom att ”bränna” metaller i kroppen.
The Name of the Wind|Patrick Rothfuss låter den legendariske Kvothe berätta sin egen historia för en krönikör under tre planerade dagar.
The First Law|Joe Abercrombies mörka serie innehåller bland andra torteraren Glokta, krigaren Logen Ninefingers och magikern Bayaz.
Malazan Book of the Fallen|Steven Eriksons stora serie skildrar ett expanderande imperium, uråldriga gudar och många parallella berättelser över flera kontinenter.
The Broken Earth|N.K. Jemisins trilogi utspelar sig på en geologiskt instabil kontinent där orogener kan påverka jordens krafter.
Jonathan Strange & Mr Norrell|Susanna Clarkes roman återför praktisk magi till ett alternativt England under Napoleonkrigen genom två mycket olika magiker.
The Once and Future King|T.H. Whites version av kung Arthur följer den unge Wart, Merlin och Camelots ideal samt sammanbrott.
Gormenghast|Mervyn Peakes romaner utspelar sig i ett enormt gammalt slott där ritualer styr livet och den ambitiöse Steerpike försöker klättra socialt.
The Black Company|Glen Cooks böcker skildrar ett legokompani från soldaternas perspektiv i konflikter mellan skrämmande magiska makter.
Memory, Sorrow and Thorn|Tad Williams trilogi om Osten Ard blev en viktig brygga mellan klassisk Tolkieninfluerad fantasy och senare mörkare episka serier.
The Lies of Locke Lamora|En grupp skickliga bedragare i staden Camorr planerar avancerade stölder och bedrägerier i Scott Lynchs roman.
The Priory of the Orange Tree|Samantha Shannons fristående episka roman kretsar kring drakar, rivaliserande traditioner och ett gammalt hot som återvänder.
The Poppy War|R.F. Kuangs mörka fantasyserie hämtar inspiration från 1900-talets kinesiska historia och följer studenten och soldaten Rin.
The Goblin Emperor|En oväntad ung tronföljare med blandad bakgrund måste lära sig hovpolitik efter att kejsarfamiljens övriga arvingar omkommit.
The Fifth Season|Första delen i Broken Earth-trilogin öppnar när en enorm geologisk katastrof hotar civilisationen och en mor söker sin dotter.
Tigana|Guy Gavriel Kays roman handlar om ett erövrat land vars namn magiskt raderats ur nästan allas minne.
The Dragonbone Chair|Simon, en ung kökspojke, dras in i ett större politiskt och övernaturligt krig i första delen av Memory, Sorrow and Thorn.
Perdido Street Station|China Miévilles roman utspelar sig i den groteska industristaden New Crobuzon där vetenskap, magi och märkliga arter blandas.

@Filmregissörer|Vem är
Steven Spielberg|Han regisserade bland annat Hajen, E.T., Jurassic Park och Schindler's List och blev en av Hollywoods mest framgångsrika filmskapare.
Alfred Hitchcock|Han blev känd som spänningens mästare genom filmer som Psycho, Vertigo, Rear Window och North by Northwest.
Martin Scorsese|Han regisserade Taxi Driver, Goodfellas, Raging Bull och The Departed och arbetar ofta med teman kring skuld och kriminalitet.
Francis Ford Coppola|Han regisserade de första två Gudfadern-filmerna och Apocalypse Now under en berömd period på 1970-talet.
Stanley Kubrick|Han skapade filmer i många genrer, däribland 2001, A Clockwork Orange, Barry Lyndon och The Shining.
[VEM]Satoshi Kon|Denne japanske animationsregissör skapade Perfect Blue, Millennium Actress och Paprika, där dröm och verklighet ofta glider in i varandra.
Ingmar Bergman|Han skapade svenska filmklassiker som Det sjunde inseglet, Smultronstället, Persona och Fanny och Alexander.
Federico Fellini|I filmer som La Dolce Vita och 8½ blandade han självbiografi, dröm och karnevalisk fantasi.
Sergio Leone|Han förnyade westernfilmen med långa närbilder, tystnad och Ennio Morricones musik i filmer som The Good, the Bad and the Ugly.
Ridley Scott|Han regisserade Alien, Blade Runner, Thelma & Louise och Gladiator under en lång internationell karriär.
David Lynch|Hans filmer och serier som Blue Velvet, Mulholland Drive och Twin Peaks kombinerar vardaglighet med drömlik obehagskänsla.
Hayao Miyazaki|Han skapade bland annat de animerade filmerna Spirited Away, My Neighbor Totoro och Princess Mononoke.
Billy Wilder|Han regisserade klassiker som Sunset Boulevard, Some Like It Hot och The Apartment och var även en framstående manusförfattare.
John Ford|Westernfilmer som Stagecoach och The Searchers samt landskapet Monument Valley förknippas starkt med honom.
Orson Welles|Han regisserade och spelade huvudrollen i Citizen Kane och började sin filmkarriär efter uppmärksammat arbete inom radio och teater.
Agnès Varda|Hon blev central för den franska nya vågens utveckling genom sina filmer, fotografier och personliga dokumentärer.
Andrei Tarkovsky|Han skapade långsamma filosofiska filmer som Andrei Rublev, Solaris och Stalker.
Satyajit Ray|Med Apu-trilogin skildrade han vardagsliv med stor humanism och blev internationellt hyllad.
F.W. Murnau|Han gjorde stumfilmsklassikern Nosferatu och senare Sunrise, med uttrycksfull kamera och ljussättning.
Yasujirō Ozu|I filmer som Tokyo Story skildrade han familjeliv och generationsförändring med en karakteristiskt låg kamera.
Robert Bresson|I filmer som Pickpocket och Au hasard Balthazar använde han återhållsamt skådespeleri, exakta ljud och stram form.
[VILKA]Powell och Pressburger|Den brittiska filmskaparduon skapade färgstarka klassiker som The Red Shoes och Black Narcissus under namnet The Archers.
Claire Denis|Hon har gjort filmer som Beau Travail och White Material med en stark fysisk och visuell berättarstil.
Ousmane Sembène|Han kallades ofta den afrikanska filmens fader och gjorde bland annat Black Girl.
Chantal Akerman|Hon skapade Jeanne Dielman, vars rigorösa vardagsskildring fått enormt inflytande på modern filmkonst.

@Oscarsgalan|Vad är
Best Picture|Denna kategori betraktas ofta som kvällens främsta pris och går till filmens producenter snarare än regissören personligen.
Academy Award|Det officiella namnet på den gyllene filmutmärkelsen är detta, även om smeknamnet Oscar nästan alltid används i vardagligt språk.
Dolby Theatre|Sedan början av 2000-talet har prisceremonin normalt hållits i denna teater på Hollywood Boulevard i Los Angeles.
The Academy|Organisationen som delar ut priserna heter Academy of Motion Picture Arts and Sciences och kallas ofta kort med detta namn.
Oscarstatyetten|Den guldfärgade figuren föreställer en riddare med svärd stående på en filmrulle med fem ekrar.
[VEM]Hattie McDaniel|Hon blev 1940 den första svarta personen att vinna en Oscar genom sin biroll i Gone with the Wind.
[VEM]Katharine Hepburn|Hon vann fyra skådespelar-Oscar, fler än någon annan skådespelare i konkurrenskategorierna.
[VEM]Walt Disney|Han innehar rekordet för flest vunna konkurrenskraftiga Academy Awards av en enskild person.
The Lord of the Rings: The Return of the King|Filmen vann alla sina elva nomineringar 2004, inklusive bästa film och bästa regi.
Ben-Hur 1959|Det historiska eposet vann elva Oscars och delade länge rekordet för flest vinster med två senare storfilmer.
The Last Emperor|Bernardo Bertoluccis historiska drama vann samtliga nio Oscar som filmen nominerades till vid galan 1988, däribland bästa film och regi.
Wings|Denna stumfilm om stridspiloter blev den första vinnaren av det pris som senare utvecklades till kategorin bästa film vid den första Oscarsgalan.
Moonlight|Denna lågmälda film om Chiron vann bästa film 2017 efter ett av prisceremonins mest berömda kuvertmisstag.
Parasite|Den sydkoreanska filmen blev 2020 den första icke-engelskspråkiga vinnaren av bästa film.
The Hurt Locker|Kathryn Bigelow blev den första kvinnan att vinna priset för bästa regi när denna krigsfilm också vann bästa film.
[VEM]Marlon Brando|Han avböjde sin Oscar för The Godfather 1973 och skickade Sacheen Littlefeather till ceremonin i protest mot behandlingen av ursprungsamerikaner.
[VEM]Sacheen Littlefeather|Hon stod på scen 1973 och avböjde Marlon Brandos pris på hans uppdrag med ett kort uttalande om ursprungsamerikaners behandling.
[VEM]Adrien Brody|Han blev vid 29 års ålder den yngste vinnaren av bästa manliga huvudroll när han prisades för The Pianist.
[VEM]Tatum O'Neal|Hon var bara tio år när hon vann bästa kvinnliga biroll för Paper Moon och blev den yngsta vinnaren i en konkurrenskategori.
[VILKA]Three 6 Mafia|Hiphopgruppen vann pris för bästa originallåt 2006 för en låt från filmen Hustle & Flow.
The Artist|Den svartvita franska stumfilmsinspirerade produktionen vann bästa film 2012 och blev en ovanlig vinnare utan huvudsakligen talad dialog.
CODA|Filmen blev 2022 den första streamingdistribuerade produktionen att vinna bästa film och hade flera döva skådespelare i centrala roller.
Everything Everywhere All at Once|Denna genreblandande film vann sju Oscars 2023, bland annat bästa film, regi och tre skådespelarpriser.
Academy Honorary Award|Denna särskilda Oscar ges utanför de vanliga konkurrenskategorierna för framstående livsgärning eller särskilda insatser.
Governors Awards|Flera hederspriser, däribland Honorary Award, delas sedan 2009 normalt ut vid denna separata akademiceremoni före huvudgalan.

@Rockhistoria|Vad är
The Beatles på Ed Sullivan|Fyra musiker från Liverpool spelade amerikansk tv 1964 inför en enorm publik och blev symbol för den brittiska invasionen.
Altamontfestivalen|Denna gratiskonsert i Kalifornien 1969 med bland andra Rolling Stones blev ökänd efter våld och ett dödsfall framför scenen.
Monterey Pop Festival|Jimi Hendrix, Janis Joplin och The Who fick stor amerikansk uppmärksamhet vid denna festival i Kalifornien 1967.
Altamont|Rolling Stones gratiskonsert 1969 slutade kaotiskt och en man dödades nära scenen under Hell's Angels-bevakning.
Live at Leeds|The Whos konsertalbum från 1970 brukar räknas till rockhistoriens mest hyllade liveinspelningar.
Sun Studio|Elvis Presley, Jerry Lee Lewis, Johnny Cash och Carl Perkins spelade tidigt in musik i denna lilla studio i Memphis.
CBGB|Den lilla klubben i New York blev under 1970-talet hem för band som Ramones, Television och Patti Smith Group.
The Cavern Club|Beatles spelade hundratals gånger på denna klubb i Liverpool innan det stora internationella genombrottet.
Electric Lady Studios|Jimi Hendrix lät bygga denna inspelningsstudio i New York, som öppnade kort före hans död 1970.
Rock and Roll Hall of Fame|Museet och institutionen ligger i Cleveland och hedrar artister och personer med stor betydelse för populärmusikens historia.
Wall of Sound|Producenten Phil Spector byggde täta lager av instrument och eko i denna inflytelserika produktionsteknik från 1960-talet.
rockopera|Ett rockalbum eller scenverk som berättar en sammanhängande dramatisk handling genom låtar kan beskrivas med detta begrepp.
power trio|En rockgrupp med gitarr, bas och trummor, ofta där medlemmarna fyller mycket stort ljudutrymme, beskrivs med detta uttryck.
Marshall stack|De höga förstärkarstaplarna med separata toppar och högtalarkabinett blev en visuell och ljudmässig rockikon.
feedback|Gitarrens ljud kan matas tillbaka från högtalaren till pickupen och skapa en kontrollerad eller okontrollerad ton genom detta fenomen.
British blues boom|Under 1960-talet tolkade brittiska grupper amerikansk blues och skapade en scen som födde många framtida rockstjärnor.
Krautrock|Tyska band som Can, Neu! och Faust experimenterade från slutet av 1960-talet med repetitiva rytmer, elektronik och ovanliga studiometoder.
postpunk|Efter den första punkvågen utvecklade band som Joy Division och Siouxsie and the Banshees ett mörkare och mer experimentellt uttryck.
pubrock|Den jordnära brittiska livescenen på små pubar under tidigt 1970-tal blev en viktig grogrund för den kommande punken.
Southern rock|Band från amerikanska södern blandade rock, blues och country, ofta med flera gitarrer och långa jam.
NWOBHM|Denna förkortning används för den brittiska heavy metal-våg kring 1980 som bland annat förknippas med Iron Maiden och Saxon.
Seattle-grungen|En scen med band som Nirvana, Soundgarden och Pearl Jam fick globalt genomslag från nordvästra USA i början av 1990-talet.
riot grrrl|Den feministiska punkrörelsen från 1990-talet kombinerade musik, zines och aktivism kring band som Bikini Kill.
post-rock|Band inom denna genre använder ofta rockinstrument för långsamma uppbyggnader, texturer och strukturer som avviker från traditionell vers-refrängform.
no wave|Den kortlivade New York-scenen i slutet av 1970-talet blandade punkattityd med dissonans, performance och experimentell musik.

@Musik på 1980-talet|Vad är
Tainted Love|Soft Cell gjorde 1981 en synthpopversion av en äldre soulsång och fick en av årtiondets mest igenkännliga hits.
Maniac|Michael Sembello sjöng denna intensiva hit från filmen Flashdance, starkt förknippad med en berömd dansscen.
Beds Are Burning|Midnight Oil fick en global hit med denna politiska rocklåt om markrättigheter för Australiens urfolk.
Every Breath You Take|The Police toppade listor med denna till synes romantiska men egentligen övervakande låt från albumet Synchronicity.
Livin' on a Prayer|Bon Jovi berättar om Tommy och Gina i denna arenarocklåt med talk box-effekt i gitarrljudet.
Everybody Wants to Rule the World|Tears for Fears fick 1985 en stor internationell hit med denna låt om makt, kontroll och ambition.
The Final Countdown|Europe använde ett stort synthesizerintro i denna svenska hårdrockshit från 1986.
Wake Me Up Before You Go-Go|Wham! fick en färgstark pophit med denna energiska låt och välkända T-shirts med texten Choose Life.
Faith|George Michael spelade akustisk gitarr och använde ett stramt rockabillyinfluerat arrangemang i denna solohit.
Don't You Want Me|The Human League byggde denna synthpophit som en dialog mellan en man och en kvinna om deras tidigare relation.
Blue Monday|New Orders långa elektroniska singel från 1983 blev en av de mest sålda tolvtumssinglarna och förenade postpunk med dansmusik.
Running Up That Hill|Kate Bush sjunger om att byta plats med en annan person i denna låt från 1985 som fick ett stort nytt uppsving flera decennier senare.
Once in a Lifetime|Talking Heads blandade artrock, afrikanskt inspirerade rytmer och David Byrnes predikande sångstil i denna låt.
There Is a Light That Never Goes Out|The Smiths kombinerade Morrisseys dramatiska text med Johnny Marrs gitarrarrangemang i denna låt från The Queen Is Dead.
Just Like Heaven|The Cure skapade denna melodiska singel med tydligt gitarr- och keyboardtema och en romantisk text från 1987.
Smalltown Boy|Bronski Beat berättade om en ung homosexuell mans flykt från hemstaden i denna synthpoplåt med Jimmy Somervilles falsett.
99 Luftballons|Nena fick en internationell hit med en tysk låt om ballonger som misstolkas militärt och bidrar till katastrofal eskalering.
West End Girls|Pet Shop Boys fick en elegant synthpophit med talad sång, stadsljud och kontraster mellan Londons öst och väst.
Enola Gay|Orchestral Manoeuvres in the Dark skrev denna elektroniska poplåt med namn efter bombflygplanet som fällde atombomben över Hiroshima.
Love Will Tear Us Apart|Joy Divisions mest berömda låt släpptes 1980 kort efter sångaren Ian Curtis död och blev en postpunkklassiker.
The Killing Moon|Echo & the Bunnymen släppte denna atmosfäriska singel 1984 med mörk romantik och stråkarrangemang.
Teen Age Riot|Sonic Youth öppnade albumet Daydream Nation med denna långa alternativrocklåt som blev en viktig undergroundklassiker.
Paid in Full|Eric B. & Rakim kombinerade minimalistiskt beat och tekniskt rapflöde i denna inflytelserika hiphoplåt.
Straight Outta Compton|N.W.A:s titelspår från 1988 gav hård västkustrap stor nationell uppmärksamhet och kontrovers.
